Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-6634-InT,2024-12-19,2025-04-20,Standard Class,CUST-5311,Thomas Mullins,Corporate,New York,South,Technology,Phones,Fundamental neutral focus group,1653.15,10.0,0.41,-104.64
ORD-1359-mzc,2024-06-19,2025-04-20,,CUST-3882,Tammy Yoder,Home Office,Ohio,East,Technology,Copiers,Function-based value-added groupware,1562.44,6.0,0.17,617.14
ORD-7066-WXd,2024-09-19,2025-04-20,Second Class,CUST-2056,Jose Miller,Home Office,California,South,Office Supplies,Binders,Quality-focused analyzing application,117.71,9.0,0.02,339.93
ORD-8020-SiT,2024-12-23,2025-04-20,Second Class,CUST-3963,Brooke Moore,Consumer,California,South,Furniture,Bookcases,Streamlined explicit circuit,1942.37,10.0,0.29,-109.92
ORD-3836-AKu,2024-12-28,2025-04-20,Same Day,CUST-2565,Michelle Steele,Consumer,New York,Central,Office Supplies,Pens,Fundamental 5thgeneration circuit,174.26,10.0,0.37,348.15
ORD-5905-zFt,2025-02-11,2025-04-20,Same Day,CUST-8109,Melanie Mason,Home Office,Ohio,West,Office Supplies,Binders,Function-based asynchronous instruction set,1526.45,8.0,0.28,287.86
ORD-2935-agQ,2025-03-21,2025-04-20,Second Class,CUST-1413,Brian Contreras,Consumer,Texas,Central,Technology,Accessories,Sharable executive toolset,1555.78,6.0,,376.02
ORD-9463-DHX,2024-08-18,2025-04-20,Same Day,CUST-0068,Cody Mason,Corporate,Pennsylvania,West,Furniture,Furnishings,Multi-channeled attitude-oriented alliance,648.27,10.0,0.33,569.68
ORD-7303-bdu,2025-01-24,2025-04-20,Same Day,CUST-2802,Jessica Robinson,Home Office,New York,South,Furniture,Bookcases,Monitored didactic info-mediaries,99.31,4.0,0.1,173.82
ORD-6338-ACU,2024-11-20,2025-04-20,First Class,CUST-9682,Michael Shields,Home Office,California,West,Technology,Phones,Upgradable real-time matrix,1898.39,3.0,0.43,620.13
ORD-2817-XQt,2024-04-24,2025-04-20,First Class,CUST-0960,Daniel Wilson DVM,Corporate,Georgia,South,Furniture,Bookcases,Future-proofed full-range monitoring,,4.0,0.37,11.88
ORD-5854-BHr,2024-08-14,2025-04-20,Same Day,CUST-7125,Mark Hines,,New York,East,Technology,Copiers,Up-sized background Local Area Network,759.45,9.0,0.02,-29.68
ORD-4848-yDi,2024-11-29,2025-04-20,Standard Class,CUST-6812,Nicole Maldonado,Consumer,Georgia,East,Office Supplies,Paper,Organized regional approach,142.53,5.0,0.33,712.87
ORD-5531-KIY,2024-04-27,2025-04-20,First Class,CUST-7705,James French,Corporate,Ohio,West,Office Supplies,Binders,Up-sized maximized productivity,1959.79,9.0,0.49,-100.4
ORD-9564-mSF,2024-11-23,2025-04-20,First Class,CUST-3367,Kelly Chapman,Consumer,Florida,South,Office Supplies,Labels,Advanced content-based hierarchy,1125.77,1.0,0.02,722.27
ORD-4902-eFn,2024-05-19,,Same Day,CUST-5270,Taylor Matthews,Corporate,New York,East,Office Supplies,Pens,Digitized 4thgeneration hub,700.09,6.0,0.18,102.33
ORD-2487-GaE,2024-09-06,2025-04-20,First Class,CUST-6765,Maria David,Home Office,Illinois,South,Technology,Copiers,Front-line uniform neural-net,1781.9,1.0,0.47,749.12
ORD-5883-FyF,2024-10-12,2025-04-20,Standard Class,CUST-1197,Nicole Levine,Corporate,New York,East,Furniture,Tables,Public-key even-keeled middleware,1462.48,9.0,0.48,412.45
ORD-3482-Jqj,2024-10-29,2025-04-20,Same Day,CUST-4914,Jessica Martinez,Consumer,New York,South,Technology,Accessories,Persevering fault-tolerant hardware,1941.37,10.0,0.16,342.23
ORD-6891-jSr,2025-01-18,2025-04-20,Second Class,CUST-5308,Tammy Flores,Consumer,Illinois,West,Furniture,Tables,Configurable cohesive methodology,865.83,3.0,0.33,364.84
ORD-7846-wrk,2024-12-15,2025-04-20,First Class,CUST-2059,Christina King,Home Office,Texas,West,Furniture,Bookcases,Operative attitude-oriented framework,642.02,3.0,0.36,565.44
ORD-4546-Pxl,2025-02-23,2025-04-20,Standard Class,CUST-9944,Elizabeth Drake,Corporate,Illinois,West,Office Supplies,Labels,Enterprise-wide interactive pricing structure,1560.42,2.0,0.07,-173.8
ORD-1911-TtJ,2024-08-07,2025-04-20,Second Class,CUST-2755,Andrew Mathis,Home Office,Florida,West,Technology,Copiers,Decentralized logistical groupware,1377.88,6.0,0.04,579.83
ORD-4693-jWS,2024-09-23,2025-04-20,Standard Class,CUST-5555,Miguel Smith,Consumer,Ohio,South,Furniture,Furnishings,Fundamental heuristic function,952.96,3.0,0.1,-167.77
